id,name,unit,tier,legal_basis,rationale,gaps,status,priority,scores,nist_avg
ACM-AI-001,CreditScore Pro,Retail Lending,High-Risk,"Annex III, Category 5(b)",Directly determines creditworthiness of natural persons for retail loans. Outputs carry significant financial consequences for individuals.,Explainability (SHAP) implemented but not documented to Article 13 standards. Conformity assessment pending.,Partial,Critical,"{'gov': 2, 'map': 3, 'mea': 2, 'man': 2}",2.25
ACM-AI-002,FraudGuard 360,Payment Operations,Limited Risk,Not listed in Annex III,Flags suspicious transactions for human review. Human-in-the-loop (HITL) prevents autonomous legal effects on users.,Vendor contract (FraudTech) lacks AI Act specific compliance clauses.,Adequate,Medium,"{'gov': 3, 'map': 4, 'mea': 3, 'man': 3}",3.25
ACM-AI-003,TalentMatch AI,Human Resources,High-Risk,"Annex III, Category 4(a)",Used for CV screening and candidate shortlisting. Directly impacts employment opportunities and carries high bias risk.,"No conformity assessment, no documented bias audit, and no registration in the EU AI database.",Non-compliant,Critical,"{'gov': 1, 'map': 2, 'mea': 1, 'man': 1}",1.25
ACM-AI-004,SupportBot Aria,Customer Experience,Limited Risk,Article 52(1) Transparency,Conversational AI interacting with natural persons. Requires clear disclosure to users that they are not speaking to a human.,Mobile app implementation lacks the 'AI Assistant' disclosure banner.,Partial,Low,"{'gov': 3, 'map': 3, 'mea': 3, 'man': 3}",3.0
ACM-AI-005,MarketPersonaliser,Marketing,Minimal Risk,Not listed in Annex III,Surfaces product recommendations based on browsing. Customer retains full agency to accept or ignore offers.,None identified under AI Act. GDPR profiling notices are active.,Compliant,Monitor,"{'gov': 4, 'map': 3, 'mea': 4, 'man': 3}",3.5
ACM-AI-006,DocIntel Underwriting,Insurance,High-Risk,"Annex III, Category 5(c)",Extracts data for health/life insurance risk assessment. Accuracy errors could lead to wrongful denial of coverage.,Still in Pilot phase. Requires a Fundamental Rights Impact Assessment (FRIA) before production.,Pre-production,High,"{'gov': 2, 'map': 2, 'mea': 2, 'man': 1}",1.75
ACM-AI-007,RegulatoryRadar,Compliance,Minimal Risk,Internal Use Only,Processes public legal texts for internal intelligence. No interaction with or impact on natural persons.,None. System provides informational support to trained compliance staff.,Compliant,Monitor,"{'gov': 4, 'map': 4, 'mea': 3, 'man': 4}",3.75
ACM-AI-008,FaceID Onboard,Digital Banking,High-Risk,"Annex III, Category 1(a)",Remote biometric identification for KYC. Carries risk of exclusion based on demographic bias in liveness detection.,Documented bias testing for diverse skin tones needs quarterly updates.,Partial,High,"{'gov': 3, 'map': 3, 'mea': 3, 'man': 3}",3.0
ACM-AI-009,AML-Sentry,Financial Crime,Limited Risk,AMLD6 / Art 52 Disclosure,Monitors transactions for money laundering. Regulated under AML laws; transparency obligations apply under AI Act.,Requires clearer human-oversight logging to demonstrate HITL compliance.,Adequate,Medium,"{'gov': 3, 'map': 4, 'mea': 4, 'man': 3}",3.5
ACM-AI-010,StaffPulse,Human Resources,High-Risk,"Annex III, Category 4(b)",Monitors employee behavior to predict burnout/churn. High risk of infringing on worker privacy and rights.,Deployment in EU paused pending mandatory Works Council consultation and Data Protection Impact Assessment (DPIA).,Non-compliant,Critical,"{'gov': 1, 'map': 1, 'mea': 1, 'man': 1}",1.0
ACM-AI-011,ACME GPT,IT / Innovation,GPAI,Article 53 Obligations,General Purpose AI model (LLM) used for coding and summaries. Subject to systemic risk evaluation if compute thresholds met.,"Internal usage policy exists, but technical documentation for downstream users is not finalized.",Partial,Medium,"{'gov': 2, 'map': 2, 'mea': 1, 'man': 2}",1.75
ACM-AI-012,ClaimLogic Health,Insurance,High-Risk,"Annex III, Category 5(c)",Automated triage and settlement of health claims. Directly impacts access to essential medical financing.,Model drift detected in April 2024. Re-training documentation lacks quantitative robustness proof.,Partial,High,"{'gov': 3, 'map': 3, 'mea': 2, 'man': 3}",2.75
ACM-AI-013,TradeWatch,Capital Markets,Limited Risk,MiFID II Governance,Monitors for wash trading and spoofing. Primarily deterministic with ML components; high degree of human oversight.,Alignment between MiFID II algorithmic trading logs and AI Act Article 12 logs needed.,Adequate,Medium,"{'gov': 4, 'map': 4, 'mea': 4, 'man': 4}",4.0
ACM-AI-014,LimitOptimizer,Credit Cards,High-Risk,"Annex III, Category 5(b)",Adjusts credit limits dynamically. Could exploit vulnerable customers by increasing debt during financial distress.,Fairness testing against 'financial vulnerability' metrics not yet performed.,Non-compliant,High,"{'gov': 2, 'map': 3, 'mea': 2, 'man': 2}",2.25
ACM-AI-015,EcoScore,Commercial Banking,Minimal Risk,Not listed in Annex III,Scores corporate ESG reports. Does not impact natural persons; governed by CSRD/SFDR frameworks.,None identified under AI Act. Data quality reviews ongoing.,Compliant,Monitor,"{'gov': 3, 'map': 3, 'mea': 2, 'man': 2}",2.5
